simulation,selected_players,jaccard,tsf_optimum,tsf_baseline_reference,delta_tsf,tsf_baseline_perturbed,regret,orbit_open
1,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45566714374218376,0.4556941843506398,-2.7040608456041504e-05,0.45566714374218376,0.0,1
2,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4555325600925263,0.4556941843506398,-0.0001616242581135019,0.4555325600925263,0.0,1
3,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4567883974150633,0.4556941843506398,0.001094213064423477,0.4567883974150633,0.0,1
4,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4550637612370082,0.4556941843506398,-0.0006304231136315952,0.4550637612370082,0.0,1
5,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4558088934024985,0.4556941843506398,0.00011470905185873015,0.4558088934024985,0.0,1
6,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4555351375789197,0.4556941843506398,-0.00015904677172007275,0.4555351375789197,0.0,1
7,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.455301281472935,0.4556941843506398,-0.0003929028777047705,0.455301281472935,0.0,1
8,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45500242961946136,0.4556941843506398,-0.00069175473117844,0.45500242961946136,0.0,1
9,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4571515550009946,0.4556941843506398,0.0014573706503547834,0.4571515550009946,0.0,1
10,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4553155827564226,0.4556941843506398,-0.0003786015942172094,0.4553155827564226,0.0,1
11,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45548245198425985,0.4556941843506398,-0.0002117323663799464,0.45548245198425985,0.0,1
12,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45483610206244107,0.4556941843506398,-0.0008580822881987249,0.45483610206244107,0.0,1
13,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4553841508031663,0.4556941843506398,-0.0003100335474734983,0.4553841508031663,0.0,1
14,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4551478258923395,0.4556941843506398,-0.0005463584583003112,0.4551478258923395,0.0,1
15,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4560617464515704,0.4556941843506398,0.00036756210093058517,0.4560617464515704,0.0,1
16,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.455818884748746,0.4556941843506398,0.00012470039810619227,0.455818884748746,0.0,1
17,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.454910480051793,0.4556941843506398,-0.0007837042988467768,0.454910480051793,0.0,1
18,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4551126076422144,0.4556941843506398,-0.000581576708425402,0.4551126076422144,0.0,1
19,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45578602661479317,0.4556941843506398,9.184226415337449e-05,0.45578602661479317,0.0,1
20,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45676117058122223,0.4556941843506398,0.001066986230582434,0.45676117058122223,0.0,1
21,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45616064091876807,0.4556941843506398,0.00046645656812827063,0.45616064091876807,0.0,1
22,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4561039753693642,0.4556941843506398,0.0004097910187244036,0.4561039753693642,0.0,1
23,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4569326044027022,0.4556941843506398,0.0012384200520624278,0.4569326044027022,0.0,1
24,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.454818815148036,0.4556941843506398,-0.0008753692026037818,0.454818815148036,0.0,1
25,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4567675468088418,0.4556941843506398,0.0010733624582019985,0.4567675468088418,0.0,1
26,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45526915665117584,0.4556941843506398,-0.00042502769946395347,0.45526915665117584,0.0,1
27,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45609035805212617,0.4556941843506398,0.00039617370148636866,0.45609035805212617,0.0,1
28,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4544886242783298,0.4556941843506398,-0.0012055600723099857,0.4544886242783298,0.0,1
29,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4557242930400992,0.4556941843506398,3.0108689459407145e-05,0.4557242930400992,0.0,1
30,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45705572614847767,0.4556941843506398,0.001361541797837873,0.45705572614847767,0.0,1
31,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45534172581410504,0.4556941843506398,-0.000352458536534761,0.45534172581410504,0.0,1
32,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4557392331410717,0.4556941843506398,4.5048790431878594e-05,0.4557392331410717,0.0,1
33,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45363449616315243,0.4556941843506398,-0.002059688187487363,0.45363449616315243,0.0,1
34,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45668558423210137,0.4556941843506398,0.0009913998814615743,0.45668558423210137,0.0,1
35,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4568676500425215,0.4556941843506398,0.0011734656918817032,0.4568676500425215,0.0,1
